id,Paper,Name,Alloy,Nb of phase,Phase,Experimental or theoretical,Experimental details,Theoretical details,Special conditions,Type of solution
1508,10.1016-j.jmatprotec.2020.116945.txt,10.1016-j.jmatprotec.2020.116945.txt,FeCoNiAlMn,2,BCC + FCC,Experimental,"arc melting and suction casting, Arc melting temperature: ∼2500 °C, Arc melting pressure: high-purity argon atmosphere, Arc melting time: re-melted five times, Suction casting temperature: ∼1500 °C, Suction casting pressure: ambient",N/A,None,Mixed Solution
1508,10.1016-j.jmatprotec.2020.116945.txt,10.1016-j.jmatprotec.2020.116945.txt,FeCoNiAlSi,1,FCC,Experimental,"arc melting, Temperature: ∼2500 °C, Pressure: high-purity argon atmosphere, Time: re-melted five times",N/A,None,Single Solid Solution
1508,10.1016-j.jmatprotec.2020.116945.txt,10.1016-j.jmatprotec.2020.116945.txt,FeCoNi,1,FCC,Experimental,"arc melting, Temperature: ∼2500 °C, Pressure: high-purity argon atmosphere, Time: re-melted five times",N/A,None,Single Solid Solution
1508,10.1016-j.jmatprotec.2020.116945.txt,10.1016-j.jmatprotec.2020.116945.txt,FeCoNiMnCr,1,FCC,Experimental,"arc melting, Temperature: ∼2500 °C, Pressure: high-purity argon atmosphere, Time: re-melted five times",N/A,None,Single Solid Solution
1508,10.1016-j.jmatprotec.2020.116945.txt,10.1016-j.jmatprotec.2020.116945.txt,FeCoNiAlMn,2,BCC + FCC,Experimental,"arc melting and suction casting, Arc melting temperature: ∼2500 °C, Arc melting pressure: high-purity argon atmosphere, Arc melting time: re-melted five times, Suction casting temperature: ∼1500 °C, Suction casting pressure: ambient",N/A,None,Mixed Solution
1508,10.1016-j.jmatprotec.2020.116945.txt,10.1016-j.jmatprotec.2020.116945.txt,FeCoNiAlMn,2,BCC + FCC,Experimental,"arc melting and suction casting, Arc melting temperature: ∼2500 °C, Arc melting pressure: high-purity argon atmosphere, Arc melting time: re-melted five times, Suction casting temperature: ∼1500 °C, Suction casting pressure: ambient",N/A,None,Mixed Solution
1509,10.1016-j.dib.2022.108582.txt,10.1016-j.dib.2022.108582.txt,HfNbTaTiZr,1,BCC,experimental,"arc melting, Current: 600, Duration: 2 minutes per melt, flipped and remelted 4 times, Environment: 10psi Argon",N/A,None,Single Solid Solution
1509,10.1016-j.dib.2022.108582.txt,10.1016-j.dib.2022.108582.txt,MoNbTaW,1,BCC,experimental,"arc melting, Current: 600, Duration: 2 minutes per melt, flipped and remelted 4 times, Environment: 10psi Argon",N/A,None,Single Solid Solution
1509,10.1016-j.dib.2022.108582.txt,10.1016-j.dib.2022.108582.txt,NbTaTi,1,BCC,experimental,"arc melting, Current: 600, Duration: 2 minutes per melt, flipped and remelted 4 times, Environment: 10psi Argon",N/A,None,Single Solid Solution
1509,10.1016-j.dib.2022.108582.txt,10.1016-j.dib.2022.108582.txt,TiZrMo,1,BCC,experimental,"arc melting, Current: 600, Duration: 2 minutes per melt, flipped and remelted 4 times, Environment: 10psi Argon",N/A,None,Single Solid Solution
1510,10.1016-j.jmrt.2022.01.098.txt,10.1016-j.jmrt.2022.01.098.txt,CoCrFeMnNi,1,FCC,experimental,"powder metallurgy, Melting: high-frequency induction heating, Milling: mechanical milling under argon atmosphere for 90 min (type B) and 120 min (type C) at 800 rpm, Sintering: spark plasma sintering at 1000°C for 10 min under an axial pressure of 50 MPa",N/A,Gradient microstructure developed through controlled mechanical milling,Single Solid Solution
1511,10.1016-j.scriptamat.2020.01.028.txt,10.1016-j.scriptamat.2020.01.028.txt,Mo0.5NbTa0.5TiZr,2,BCC + Zr-Ti-rich,experimental,"Not detailed in the given text, Temperature: Not specified, Time: Not specified",N/A,Removal of Al from the initial alloy,Mixed Solution
1512,10.1016-j.jallcom.2023.169427.txt,10.1016-j.jallcom.2023.169427.txt,FeNiCrCoCu,1,FCC,experimental,"molecular dynamics simulations, Simulation software: LAMMPS, Simulation temperature: 298, Simulation time step: 1, Relaxation time: 50",N/A,None,Single Solid Solution
1513,10.1016-j.mtcomm.2024.108036.txt,10.1016-j.mtcomm.2024.108036.txt,Al0.25CoCrFeNiCu,1,FCC,Experimental,"induction melting, Temperature: 1650–1700 °C, Homogenization: 10 hours at 900 °C, Cooling: air-cooled",N/A,No phase transformations observed during cold rolling up to 75% reduction in thickness,Mixed Solution
1513,10.1016-j.mtcomm.2024.108036.txt,10.1016-j.mtcomm.2024.108036.txt,Al0.45CoCrFeNiSi0.45,2,BCC + FCC,Experimental,"induction melting, Temperature: 1650–1700 °C, Homogenization: 10 hours at 900 °C, Cooling: air-cooled",N/A,No phase transformations observed during cold rolling up to 75% reduction in thickness,Mixed Solution
1514,10.1016-j.matlet.2021.131250.txt,10.1016-j.matlet.2021.131250.txt,FeCoNiMoW,2,FCC + complex intermetallic (Intermetallic),experimental,"vacuum arc melting, Atmosphere: argon, Purity: commercial purity (99.9 wt%), Remelting: at least 8 times",N/A,Partially ordered structure (High Entropy Intermetallic: μ phase),Mixed Solution
1516,10.1016-j.msea.2023.145844.txt,10.1016-j.msea.2023.145844.txt,(FeCoNi)86Al7Ti7,2,FCC + L12,Experimental,"Vacuum Induction Melting, Temperature: 1100, Duration: 4 hours, Cooling method: Water quenching",N/A,None,Mixed Solution
1517,10.1016-j.jallcom.2023.172814.txt,10.1016-j.jallcom.2023.172814.txt,AlCoCrFeNi,1,FCC,experimental,"molecular dynamics simulation, Temperature: 100, Elemental composition: {'Ni': 20, 'Fe': 20, 'Co': 20, 'Al': 10, 'Cr': 30}",N/A,None,Single Solid Solution
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,AlCoCrFeNi,1,BCC,Experimental,"molten salt synthesis, Temperature: 550, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Single Solid Solution
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,CoCrFeNi,1,FCC,Experimental,"molten salt synthesis, Temperature: 550, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Single Solid Solution
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,AlCoCrFeNiV,1,BCC,Experimental,"molten salt synthesis, Temperature: 550, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Single Solid Solution
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,(Al0.2Co0.2Cr0.2Fe0.2Ni0.2)3O4,1,spinel-type cubic,Experimental,"molten salt synthesis, Temperature: 550, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Intermetallic
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,(Co0.25Cr0.25Fe0.25Ni0.25)3O4,1,spinel-type cubic,Experimental,"molten salt synthesis, Temperature: 550, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Intermetallic
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,AlCoCrFeNi(Pre),1,amorphous,Experimental,"molten salt synthesis, Temperature: 500, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Amorphous
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,AlCoCrFeNi(RDT),1,BCC,Experimental,"molten salt synthesis, Temperature: 550, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Single Solid Solution
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,CoCrFeNi(Pre),1,spinel-type cubic,Experimental,"molten salt synthesis, Temperature: 500, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Intermetallic
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,CoCrFeNi(RDT),1,FCC,Experimental,"molten salt synthesis, Temperature: 550, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Single Solid Solution
1518,10.1016-j.ijhydene.2023.04.224.txt,10.1016-j.ijhydene.2023.04.224.txt,(CoCrFeNi)3O4,1,spinel-type cubic,Experimental,"molten salt synthesis, Temperature: 550, Time: 10, Atmosphere: Ar gas flowing at 50 ml/min",N/A,None,Intermetallic
1519,10.1016-j.jallcom.2023.169545.txt,10.1016-j.jallcom.2023.169545.txt,FeCoNiAl,1,BCC,experimental,"mechanical alloying and spark plasma sintering, Milling duration: 45, Sintering temperature: 900, Sintering time: 8, Sintering pressure: 50",N/A,None,Single Solid Solution
1519,10.1016-j.jallcom.2023.169545.txt,10.1016-j.jallcom.2023.169545.txt,FeCoNiAlSi0,1,BCC,experimental,"mechanical alloying and spark plasma sintering, Milling duration: 45, Sintering temperature: 900, Sintering time: 8, Sintering pressure: 50",N/A,None,Single Solid Solution
1519,10.1016-j.jallcom.2023.169545.txt,10.1016-j.jallcom.2023.169545.txt,FeCoNiAlSi0.2,1,BCC,experimental,"mechanical alloying and spark plasma sintering, Milling duration: 45, Sintering temperature: 900, Sintering time: 8, Sintering pressure: 50",N/A,None,Single Solid Solution
1519,10.1016-j.jallcom.2023.169545.txt,10.1016-j.jallcom.2023.169545.txt,FeCoNiAlSi0.4,1,BCC,experimental,"mechanical alloying and spark plasma sintering, Milling duration: 45, Sintering temperature: 900, Sintering time: 8, Sintering pressure: 50",N/A,None,Single Solid Solution
1519,10.1016-j.jallcom.2023.169545.txt,10.1016-j.jallcom.2023.169545.txt,FeCoNiAlSi0.6,2,B2 (Intermetallic) + BCC,experimental,"mechanical alloying and spark plasma sintering, Milling duration: 45, Sintering temperature: 900, Sintering time: 8, Sintering pressure: 50",N/A,Partially ordered B2 phase,Mixed Solution
1519,10.1016-j.jallcom.2023.169545.txt,10.1016-j.jallcom.2023.169545.txt,FeCoNiAlSi0.8,2,B2 (Intermetallic) + BCC,experimental,"mechanical alloying and spark plasma sintering, Milling duration: 45, Sintering temperature: 900, Sintering time: 8, Sintering pressure: 50",N/A,Partially ordered B2 phase,Mixed Solution
1520,10.1016-j.jmatprotec.2023.118102.txt,10.1016-j.jmatprotec.2023.118102.txt,ZrHfNbTa,2,BCC + FCC,Experimental,"arc melting and Spark Plasma Sintering (SPS), Load: 5000, Heating procedure: {'flash_joining': {'heating_rate': 'over 100°C/s', 'heating_time': 16}, 'conventional_sps_joining': {'heating_rate': '< 70°C/min'}}",N/A,No partially ordered structure (High Entropy Intermetallic) identified.,Mixed Solution
1520,10.1016-j.jmatprotec.2023.118102.txt,10.1016-j.jmatprotec.2023.118102.txt,TiZrHfTa,2,BCC + FCC,Experimental,"arc melting and Spark Plasma Sintering (SPS), Load: 5000, Heating procedure: {'flash_joining': {'heating_rate': 'over 100°C/s', 'heating_time': 16}, 'conventional_sps_joining': {'heating_rate': '< 70°C/min'}}",N/A,No partially ordered structure (High Entropy Intermetallic) identified.,Mixed Solution
1521,10.1016-j.mtcomm.2023.105346.txt,10.1016-j.mtcomm.2023.105346.txt,AlCoCrFeNi,1,FCC,experimental,"ultrahigh vacuum magnetron sputtering, Deposition conditions: DC power supply, room temperature",N/A,Nanochannel structure present,Single Solid Solution
1521,10.1016-j.mtcomm.2023.105346.txt,10.1016-j.mtcomm.2023.105346.txt,CoCrFeNi,1,FCC,experimental,"ultrahigh vacuum magnetron sputtering, Deposition conditions: RF power supply, 500 °C",N/A,No nanochannels,Single Solid Solution
1522,10.1016-j.jallcom.2023.168831.txt,10.1016-j.jallcom.2023.168831.txt,CuFeMnNiC,3,9R martensite martensite + FCC + Cu,experimental,"vacuum induction melting and 2D hot forging, Temperature: 980, Time: not specified",N/A,Partially ordered structure in transitional region,Mixed Solution
1522,10.1016-j.jallcom.2023.168831.txt,10.1016-j.jallcom.2023.168831.txt,CuFeMnNi,1,FCC,experimental,"arc melting or vacuum induction melting, Temperature: around melting points of Cu, Fe, Mn, Ni, Time: not specified",N/A,None,Single Solid Solution
1523,10.1016-j.physb.2023.415028.txt,10.1016-j.physb.2023.415028.txt,FeNiCrCoCu,4,BCC + FCC + HCP + none Amorphous,experimental,"nanoimprint lithography, Temperature: 300, Pressure: constant velocity of 25 m/s for loading, 50 m/s for unloading, Time: mold maintained at 3.0 nm for 20 ps",N/A,None,Mixed Solution
1524,10.1016-j.actamat.2020.03.048.txt,10.1016-j.actamat.2020.03.048.txt,VCoNi,3,FCC + tetragonal (Intermetallic) + trigonal (Intermetallic),Experimental,"vacuum induction melting, Temperature: 1200, Time: 24 hours, Cooling rate: water-quenching",N/A,Partially ordered structure with high entropy intermetallic phases (κ and σ) when annealed at 800 °C,Mixed Solution
1525,10.1016-j.mtphys.2022.100653.txt,10.1016-j.mtphys.2022.100653.txt,Al6B0.1Co30Cr15Fe13Ni30Ti6,3,"FCC + L12 (FCC-based superlattice) (Intermetallic) + Ni3(Al, Ti)",Experimental,"arc melting, Temperature: 1165, Time: 2 hours",N/A,Duplex aging treatment applied (1000 °C for 4 hours and 800 °C for 16 hours),Mixed Solution
1526,10.1016-j.scriptamat.2020.08.013.txt,10.1016-j.scriptamat.2020.08.013.txt,Ti16Zr35Hf35Ta14,2,HCP + orthorhombic,theoretical,"d-electron alloy design approach combined with elastic distortion energy analysis, Calculation method: Elastic distortion energy (∆Eels) calculation, Significant parameters: Severe lattice distortion",N/A,None,Mixed Solution
1527,10.1016-j.matlet.2020.128736.txt,10.1016-j.matlet.2020.128736.txt,CoCrFeNi,1,FCC,experimental,"Powder Plasma Arc Additive Manufacturing (PPA-AM), Current: 60, Manufacturing speed: 300, Shielding gas flow: 20, Cooling time: 180",N/A,None,Single Solid Solution
1527,10.1016-j.matlet.2020.128736.txt,10.1016-j.matlet.2020.128736.txt,CoCrFeNiSiC0.1,2,FCC + complex carbide structure,experimental,"Powder Plasma Arc Additive Manufacturing (PPA-AM), Current: 60, Manufacturing speed: 300, Shielding gas flow: 20, Cooling time: 180",N/A,None,Mixed Solution
1527,10.1016-j.matlet.2020.128736.txt,10.1016-j.matlet.2020.128736.txt,CoCrFeNiSiC0.3,2,FCC + complex carbide structure,experimental,"Powder Plasma Arc Additive Manufacturing (PPA-AM), Current: 60, Manufacturing speed: 300, Shielding gas flow: 20, Cooling time: 180",N/A,None,Mixed Solution
1527,10.1016-j.matlet.2020.128736.txt,10.1016-j.matlet.2020.128736.txt,CoCrFeNiSiC0.5,2,FCC + complex carbide structure,experimental,"Powder Plasma Arc Additive Manufacturing (PPA-AM), Current: 60, Manufacturing speed: 300, Shielding gas flow: 20, Cooling time: 180",N/A,None,Mixed Solution
1528,10.1016-j.jallcom.2022.163684.txt,10.1016-j.jallcom.2022.163684.txt,AlCoCrFeNi,1,FCC,experimental,"arc melting, Elements: Co, Fe, Cr, Ni, Al (>99.9 wt% purity), Atmosphere: Zr-gettered high-purity Ar, Process: Each ingot was flipped and re-melted at least five times",N/A,Partially recrystallized and fully recrystallized FCC phases observed after post-processing,Single Solid Solution
1528,10.1016-j.jallcom.2022.163684.txt,10.1016-j.jallcom.2022.163684.txt,AlCoCrFeNi,1,FCC,experimental,"arc melting, Elements: Fe, Mn, Ni, Cr (>99.9 wt% purity), Atmosphere: Zr-gettered high-purity Ar, Process: Each ingot was flipped and re-melted at least five times",N/A,Fully recrystallized FCC phase observed after post-processing,Single Solid Solution
1529,10.1016-j.jallcom.2024.173881.txt,10.1016-j.jallcom.2024.173881.txt,NbZrTiW,1,BCC,experimental,"arc melting, Temperature: not specified, Time: not specified",N/A,None,Single Solid Solution
1530,10.1016-j.jmapro.2020.08.031.txt,10.1016-j.jmapro.2020.08.031.txt,CoZnCuMnSi,4,likely FCC or BCC + not specified + Fe4Al13 + FeAl,experimental,"laser deposition welding, Laser power: 800, Scanning speed: 100, Laser spot size: 1.5, Powder feeding amount: 10, Assembly gap: 0.5",N/A,Partially ordered structure in unmixed zones,Mixed Solution
1530,10.1016-j.jmapro.2020.08.031.txt,10.1016-j.jmapro.2020.08.031.txt,FeCoCrNiMn,3,likely FCC or BCC + not specified + Fe4Al13,experimental,"laser deposition welding, Laser power: 800, Scanning speed: 100, Laser spot size: 1.5, Powder feeding amount: 10, Assembly gap: 0.5",N/A,Partially ordered structure in unmixed zones,Mixed Solution
1530,10.1016-j.jmapro.2020.08.031.txt,10.1016-j.jmapro.2020.08.031.txt,AlSi,3,not fully achieved + not specified + Fe4Al13,experimental,"laser deposition welding, Laser power: 800, Scanning speed: 100, Laser spot size: 1.5, Powder feeding amount: 10, Assembly gap: 0.5",N/A,Less effective high-entropy effect with more ordered intermetallic structures,Intermetallic
1531,10.1016-j.ijplas.2022.103296.txt,10.1016-j.ijplas.2022.103296.txt,CrFeCoNiMnCu,1,FCC,experimental,"arc melting, Temperature: not specified, Time: re-melted at least five times",N/A,None,Single Solid Solution
1532,10.1016-j.msea.2024.146229.txt,10.1016-j.msea.2024.146229.txt,CrMnFeCoNiSiC,5,FCC + cubic + orthorhombic + M7C3 + M23C6,experimental,"laser metal deposition (LMD), Powder size: {'CrMnFeCoNi': 'approximately 120 μm', 'SiC': 'approximately 40 nm'}, Mixing and drying: Mixed powders were dried in a vacuum environment at 120°C for 2.5 hours, Argon gas flow: 15 L/min, Feeding rate: 7–9 g/min, Substrate: 316L steel substrate",N/A,None,Mixed Solution
1533,10.1016-j.intermet.2022.107715.txt,10.1016-j.intermet.2022.107715.txt,AlCrFeNiNb,4,HCP Laves + orthorhombic + tetragonal + Nb-rich Laves phase (FeCrNb type),experimental,"arc melting, Raw material purity: >99.9%, Atmosphere: Ti-gettered high-purity argon, Remelting: 5, Final form: disc ingot (diameter: 30 mm, length: 12 mm)",N/A,Partially ordered structure in tetragonal structure phase,Mixed Solution
1533,10.1016-j.intermet.2022.107715.txt,10.1016-j.intermet.2022.107715.txt,CoCrFeNiNb,3,FCC + Not specified + Nb-rich phases,experimental,Not explicitly stated,N/A,Partially ordered structure in intermetallic compounds,Mixed Solution
1533,10.1016-j.intermet.2022.107715.txt,10.1016-j.intermet.2022.107715.txt,NiCrCoFeMoNb,3,FCC + Not specified + Nb-rich phases,experimental,Not explicitly stated,N/A,Partially ordered structure in intermetallic compounds,Mixed Solution
1533,10.1016-j.intermet.2022.107715.txt,10.1016-j.intermet.2022.107715.txt,AlCrFeNi,2,FCC + Not specified,experimental,Not explicitly stated,N/A,Partially ordered structure in eutectic lamellar structure,Mixed Solution
1533,10.1016-j.intermet.2022.107715.txt,10.1016-j.intermet.2022.107715.txt,AlCrFeNiNb,3,FCC + HCP Laves + Nb-rich Laves phase,experimental,Not explicitly stated,N/A,Partially ordered structure in Laves phase,Mixed Solution
1533,10.1016-j.intermet.2022.107715.txt,10.1016-j.intermet.2022.107715.txt,AlCoCrFeNiTi,2,FCC + Not specified,experimental,Not explicitly stated,N/A,Partially ordered structure in precipitated phases,Mixed Solution
1533,10.1016-j.intermet.2022.107715.txt,10.1016-j.intermet.2022.107715.txt,CoCrFeNiZr,2,FCC + Not specified,experimental,Not explicitly stated,N/A,Partially ordered structure in eutectic lamellar structure,Mixed Solution
1533,10.1016-j.intermet.2022.107715.txt,10.1016-j.intermet.2022.107715.txt,AlCrFeNiNb,2,FCC + Not specified,experimental,Not explicitly stated,N/A,Not applicable,Single Solid Solution
1534,10.1016-j.jmrt.2023.02.098.txt,10.1016-j.jmrt.2023.02.098.txt,AlCoCrFeNiV,3,BCC + HCP + needle-like,Experimental,"laser cladding, Laser output power: 3.5, Scanning rate: 5, Laser spot size: 20 × 2 mm2, Argon flow rate: ~5 L/min, Raw materials: Commercial Al, Co, Cr, Mo, and V metal powders with purity > 99.9%, Blending: Powders blended in stainless steel jar for 1.5 h using a QM-3PS2 planetary ball mill, Substrate: 904L stainless steel, polished and cleaned with alcohol, Coating thickness: 1.5",N/A,Partially ordered structure (High Entropy Intermetallic): σ phase,Mixed Solution
1534,10.1016-j.jmrt.2023.02.098.txt,10.1016-j.jmrt.2023.02.098.txt,AlCoCrMoV,3,BCC + HCP + needle-like,Experimental,"laser cladding, Laser output power: 3.5, Scanning rate: 5, Laser spot size: 20 × 2 mm2, Argon flow rate: ~5 L/min, Raw materials: Commercial Al, Co, Cr, Mo, and V metal powders with purity > 99.9%, Blending: Powders blended in stainless steel jar for 1.5 h using a QM-3PS2 planetary ball mill, Substrate: 904L stainless steel, polished and cleaned with alcohol, Coating thickness: 1.5",N/A,Partially ordered structure (High Entropy Intermetallic): σ phase,Mixed Solution
1535,10.1016-j.colsurfa.2022.129404.txt,10.1016-j.colsurfa.2022.129404.txt,CoNiWReP,1,none Amorphous,experimental,"pulse current electrodeposition, Pulse-on time: 1, Pulse-off time: 4, Average current density: [1.5, 2.5], Electrolyte temperature: 60",N/A,None,Amorphous
1536,10.1016-j.actamat.2022.118049.txt,10.1016-j.actamat.2022.118049.txt,CrCoNi,2,FCC + HCP martensite,experimental,"vacuum induction melting, Temperature: melting temperature not explicitly stated, Pressure: vacuum conditions",N/A,No partial ordering or intermetallic structure observed,Mixed Solution
1537,10.1016-j.mtcomm.2023.107594.txt,10.1016-j.mtcomm.2023.107594.txt,TiHfZrNiCuCo,4,Not specified + dense and homogeneous + disordered + plate-like,experimental,"vacuum arc melting furnace, Temperature: 1000, Time: varied from 1 to 276 minutes",N/A,None,Intermetallic
1538,10.1016-j.matlet.2021.130110.txt,10.1016-j.matlet.2021.130110.txt,CoCr3Fe5Ni,1,FCC and BCC,experimental,"induction smelting, Temperature: not specified, Time: 5 minutes melting",N/A,None,Mixed Solution
1538,10.1016-j.matlet.2021.130110.txt,10.1016-j.matlet.2021.130110.txt,Y0.01Al0.3CoCr3Fe5Ni,1,FCC and BCC,experimental,"induction smelting, Temperature: not specified, Time: 5 minutes melting",N/A,None,Mixed Solution
1538,10.1016-j.matlet.2021.130110.txt,10.1016-j.matlet.2021.130110.txt,Y0.03Al0.3CoCr3Fe5Ni,1,FCC and BCC,experimental,"induction smelting, Temperature: not specified, Time: 5 minutes melting",N/A,None,Mixed Solution
1538,10.1016-j.matlet.2021.130110.txt,10.1016-j.matlet.2021.130110.txt,Y0.01Al0.4CoCr3Fe5Ni,1,FCC and BCC,experimental,"induction smelting, Temperature: not specified, Time: 5 minutes melting",N/A,None,Mixed Solution
1538,10.1016-j.matlet.2021.130110.txt,10.1016-j.matlet.2021.130110.txt,Al0.3CoCr3Fe5Ni,1,FCC and BCC,experimental,"induction smelting, Temperature: not specified, Time: 5 minutes melting",N/A,None,Mixed Solution
1539,10.1016-j.matlet.2021.130770.txt,10.1016-j.matlet.2021.130770.txt,VCoNiTa,1,FCC,combination,"Vacuum non-consumable arc melting furnace, Temperature: 1000, Time: 2 hours","First principles calculations, K-mesh: 17 × 25 × 5, Supercell size: 20 atoms for γisf and γus, 22 atoms for γut, Exchange-correlation functional: GGA in PBE form, Magnetic treatment: DLM, Total energy convergence: 10−7 Ry per atom",No partial ordering or high entropy intermetallic structure,Single Solid Solution
1540,10.1016-j.jmrt.2021.12.087.txt,10.1016-j.jmrt.2021.12.087.txt,FeCrNi,2,solid solution + Mn3O4,experimental,"steel smelting technology, Details: Trial-produced by Taiyuan Iron & Steel Corporation",N/A,None,Intermetallic
1540,10.1016-j.jmrt.2021.12.087.txt,10.1016-j.jmrt.2021.12.087.txt,FeCrNiCe,1,solid solution,experimental,"steel smelting technology, Details: Trial-produced by Taiyuan Iron & Steel Corporation",N/A,None,Intermetallic
1541,10.1016-j.corsci.2020.108507.txt,10.1016-j.corsci.2020.108507.txt,CoCrFeMnNi,1,FCC,Experimental,"high frequency electromagnetic induction melting, Temperature: 1373, Time: 13 hours, Cooling rate: air quenching",N/A,None,Single Solid Solution
1541,10.1016-j.corsci.2020.108507.txt,10.1016-j.corsci.2020.108507.txt,AlCrFeMnNi,1,FCC,Experimental,"high frequency electromagnetic induction melting, Temperature: similar to CoCrFeMnNi, Time: similar to CoCrFeMnNi, Cooling rate: similar to CoCrFeMnNi",N/A,None,Single Solid Solution
1541,10.1016-j.corsci.2020.108507.txt,10.1016-j.corsci.2020.108507.txt,AlCoCrFeNi,1,FCC,Experimental,"high frequency electromagnetic induction melting, Temperature: similar to CoCrFeMnNi, Time: similar to CoCrFeMnNi, Cooling rate: similar to CoCrFeMnNi",N/A,None,Single Solid Solution
1541,10.1016-j.corsci.2020.108507.txt,10.1016-j.corsci.2020.108507.txt,FeCoNiCrCu,1,FCC,Experimental,"high frequency electromagnetic induction melting, Temperature: similar to CoCrFeMnNi, Time: similar to CoCrFeMnNi, Cooling rate: similar to CoCrFeMnNi",N/A,None,Single Solid Solution
1541,10.1016-j.corsci.2020.108507.txt,10.1016-j.corsci.2020.108507.txt,CoCrFeNiMo,1,FCC,Experimental,"high frequency electromagnetic induction melting, Temperature: similar to CoCrFeMnNi, Time: similar to CoCrFeMnNi, Cooling rate: similar to CoCrFeMnNi",N/A,None,Single Solid Solution
1541,10.1016-j.corsci.2020.108507.txt,10.1016-j.corsci.2020.108507.txt,NiCrFeRuMoW,1,FCC,Experimental,"high frequency electromagnetic induction melting, Temperature: similar to CoCrFeMnNi, Time: similar to CoCrFeMnNi, Cooling rate: similar to CoCrFeMnNi",N/A,None,Single Solid Solution
1542,10.1016-j.intermet.2022.107649.txt,10.1016-j.intermet.2022.107649.txt,AlCrFeMoTiSix,1,amorphous,experimental,"magnetron co-sputtering, Base pressure: 2 × 10−3 Pa, Deposition temperature: 300 °C, Target substrate distance: 10 cm, Ar gas flow rate: 52 sccm, Sputtering pressure: 0.53 Pa, Sputtering power: 200 W, Sputtering time: 120 min",N/A,None,Amorphous
1543,10.1016-j.jallcom.2020.153845.txt,10.1016-j.jallcom.2020.153845.txt,Fe60Mn30Cr10Co0,1,FCC,experimental,"arc melting, Temperature: 1273, Time: 48 hours, Atmosphere: Ar",N/A,No thermally induced martensitic transition,Single Solid Solution
1543,10.1016-j.jallcom.2020.153845.txt,10.1016-j.jallcom.2020.153845.txt,Fe57.5Mn30Cr10Co2.5,1,FCC,experimental,"arc melting, Temperature: 1273, Time: 48 hours, Atmosphere: Ar",N/A,No thermally induced martensitic transition,Single Solid Solution
1543,10.1016-j.jallcom.2020.153845.txt,10.1016-j.jallcom.2020.153845.txt,Fe55Mn30Cr10Co5,2,FCC + HCP martensite,experimental,"arc melting, Temperature: 1273, Time: 48 hours, Atmosphere: Ar",N/A,Thermally induced martensitic transition observed,Mixed Solution
1543,10.1016-j.jallcom.2020.153845.txt,10.1016-j.jallcom.2020.153845.txt,Fe52.5Mn30Cr10Co7.5,2,FCC + HCP martensite,experimental,"arc melting, Temperature: 1273, Time: 48 hours, Atmosphere: Ar",N/A,Thermally induced martensitic transition observed,Mixed Solution
1543,10.1016-j.jallcom.2020.153845.txt,10.1016-j.jallcom.2020.153845.txt,Fe50Mn30Cr10Co10,2,FCC + HCP martensite,experimental,"arc melting, Temperature: 1273, Time: 48 hours, Atmosphere: Ar",N/A,Thermally induced martensitic transition observed,Mixed Solution
1543,10.1016-j.jallcom.2020.153845.txt,10.1016-j.jallcom.2020.153845.txt,Fe47.5Mn30Cr10Co12.5,2,FCC + HCP martensite,experimental,"arc melting, Temperature: 1273, Time: 48 hours, Atmosphere: Ar",N/A,Thermally induced martensitic transition observed,Mixed Solution
1545,10.1016-j.actamat.2020.05.015.txt,10.1016-j.actamat.2020.05.015.txt,CrMnFeCoNi,5,B2 (CsCl-type) + BCC + FCC + L10 (Tetragonal) + complex (sigma phase structure),experimental,"vacuum induction melting, Temperature: 1100, Time: 16 hours, Cooling rate: water quenching",N/A,None,Mixed Solution
